Date,Price,Open,High,Low,Vol.,Change %
"Dec 03, 2020","3666,72","3668,28","3682,73","3657,17",-,-0.06%
"Dec 02, 2020","3669,01","3653,78","3670,96","3644,84",-,0.18%
"Dec 01, 2020","3662,45","3645,87","3678,45","3645,87",-,1.13%
"Nov 30, 2020","3621,63","3634,18","3634,18","3594,39",-,-0.46%
"Nov 27, 2020","3638,35","3638,55","3644,31","3629,33",-,0.24%
"Nov 25, 2020","3629,65","3635,5","3635,5","3617,76",-,-0.16%
"Nov 24, 2020","3635,41","3594,52","3642,31","3594,52",-,1.62%
"Nov 23, 2020","3577,59","3566,82","3589,81","3552,77",-,0.56%
"Nov 20, 2020","3557,54","3579,31","3581,23","3556,85",-,-0.68%
"Nov 19, 2020","3581,87","3559,41","3585,22","3543,84",-,0.39%
"Nov 18, 2020","3567,79","3612,09","3619,09","3567,33",-,-1.16%
"Nov 17, 2020","3609,53","3610,31","3623,11","3588,68",-,-0.48%
"Nov 16, 2020","3626,91","3600,16","3628,51","3600,16",-,1.16%
"Nov 13, 2020","3585,15","3552,57","3593,66","3552,57",-,1.36%
"Nov 12, 2020","3537,01","3562,67","3569,02","3518,58",-,-1.00%
"Nov 11, 2020","3572,66","3563,22","3581,16",3557,-,0.77%
"Nov 10, 2020","3545,53","3543,26","3557,22","3511,91",-,-0.14%
"Nov 09, 2020","3550,5","3583,04","3645,99","3547,48",-,1.17%
"Nov 06, 2020","3509,44","3508,34","3521,58","3484,34",-,-0.03%
"Nov 05, 2020","3510,45","3485,74","3529,05","3485,74",-,1.95%
"Nov 04, 2020","3443,44","3406,46","3486,25","3405,17",-,2.20%
"Nov 03, 2020","3369,16","3336,25","3389,49","3336,25",-,1.78%
"Nov 02, 2020","3310,24","3296,2","3330,14","3279,74",-,1.23%
"Oct 30, 2020","3269,96","3293,59","3304,93","3233,94",-,-1.21%
"Oct 29, 2020","3310,11","3277,17","3341,05","3259,82",-,1.19%
"Oct 28, 2020","3271,03","3342,48","3342,48","3268,89",-,-3.53%
"Oct 27, 2020","3390,68","3403,15","3409,51","3388,71",-,-0.30%
"Oct 26, 2020","3400,97","3441,42","3441,42","3364,86",-,-1.86%
"Oct 23, 2020","3465,39","3464,9","3466,46","3440,45",-,0.34%
"Oct 22, 2020","3453,49","3438,5","3460,53","3415,34",-,0.52%
"Oct 21, 2020","3435,56","3439,91","3464,86","3433,06",-,-0.22%
"Oct 20, 2020","3443,12","3439,38","3476,93","3435,65",-,0.47%
"Oct 19, 2020","3426,92","3493,66","3502,42","3419,93",-,-1.63%
"Oct 16, 2020","3483,81","3493,5","3515,76","3480,45",-,0.01%
"Oct 15, 2020","3483,34","3453,72","3489,08","3440,89",-,-0.15%
"Oct 14, 2020","3488,67","3515,47","3527,94","3480,55",-,-0.66%
"Oct 13, 2020","3511,93","3534,01","3534,01","3500,86",-,-0.63%
"Oct 12, 2020","3534,22","3500,02","3549,85","3499,61",-,1.64%
"Oct 09, 2020","3477,13","3459,67","3482,34","3458,07",-,0.88%
"Oct 08, 2020","3446,83","3434,28","3447,28","3428,15",-,0.80%
