Date,Price,Open,High,Low,Vol.,Change %,Date,Price,Open,High,Low,Vol.,Change %
"Nov 25, 2007","6,51","6,2","6,7","6,07",6.01B,6.20%,"Nov 25, 2007","1481,14","1440,74","1488,94","1406,1",20.48B,2.81%
"Nov 18, 2007","6,13","5,93","6,16","5,79",4.38B,3.20%,"Nov 18, 2007","1440,7","1456,7","1456,7","1415,64",14.68B,-1.24%
"Nov 11, 2007","5,94","5,9","6,34","5,38",7.83B,0.51%,"Nov 11, 2007","1458,74","1453,66","1492,14","1438,53",20.48B,0.35%
"Nov 04, 2007","5,91","6,62","6,88","5,9",6.17B,-11.92%,"Nov 04, 2007","1453,7","1505,61","1520,77","1448,51",22.08B,-3.71%
"Oct 28, 2007","6,71","6,62","6,79","6,43",4.12B,1.67%,"Oct 28, 2007","1509,65","1536,92","1552,76","1492,53",18.82B,-1.67%
"Oct 21, 2007","6,6","6,08","6,74","6,07",6.41B,8.37%,"Oct 21, 2007","1535,28","1497,79","1535,53","1489,56",18.58B,2.31%
"Oct 14, 2007","6,09",6,"6,24","5,84",5.39B,2.01%,"Oct 14, 2007","1500,63","1562,25","1564,74","1500,26",17.38B,-3.92%
"Oct 07, 2007","5,97","5,84","6,14","5,47",5.24B,3.47%,"Oct 07, 2007","1561,8","1556,51","1576,09","1546,72",14.72B,0.27%
"Sep 30, 2007","5,77","5,52","5,77","5,46",3.92B,5.29%,"Sep 30, 2007","1557,59","1527,29","1561,91","1527,25",15.06B,2.02%
"Sep 23, 2007","5,48","5,24","5,54","5,24",4.49B,6.41%,"Sep 23, 2007","1526,75","1525,75","1533,74","1507,13",15.35B,0.07%
"Sep 16, 2007","5,15","4,96","5,17","4,91",4.72B,3.83%,"Sep 16, 2007","1525,75","1484,24","1538,74","1471,82",16.79B,2.80%
"Sep 09, 2007","4,96","4,89","4,98","4,78",4.75B,5.31%,"Sep 09, 2007","1484,25","1453,5","1489,58","1439,29",14.26B,2.11%
"Sep 02, 2007","4,71",5,"5,21","4,64",6.98B,-4.85%,"Sep 02, 2007","1453,55","1473,96","1496,4","1449,07",11.41B,-1.39%
"Aug 26, 2007","4,95","4,76","4,99","4,52",5.37B,2.48%,"Aug 26, 2007","1473,99","1479,36","1481,47","1432,01",13.62B,-0.36%
"Aug 19, 2007","4,83","4,43","4,83","4,3",4.95B,10.78%,"Aug 19, 2007","1479,37","1445,94","1479,4","1430,54",15.27B,2.31%
"Aug 12, 2007","4,36","4,58","4,62","3,99",5.55B,-2.24%,"Aug 12, 2007","1445,94","1453,42","1466,29","1370,6",21.88B,-0.53%
"Aug 05, 2007","4,46","4,75","4,9","4,3",5.22B,-5.31%,"Aug 05, 2007","1453,64","1433,04","1503,89","1427,39",26.71B,1.44%
"Jul 29, 2007","4,71","5,15","5,19","4,56",6.16B,-8.37%,"Jul 29, 2007","1433,06","1458,93","1488,3","1432,8",22.55B,-1.77%
"Jul 22, 2007","5,14","5,12","5,32","4,79",7.82B,0.19%,"Jul 22, 2007","1458,95","1534,06","1547,23","1458,95",20.76B,-4.90%
"Jul 15, 2007","5,13","4,94","5,15","4,86",4.30B,4.27%,"Jul 15, 2007","1534,1","1552,5","1555,9","1529,2",16.32B,-1.19%
